sex,length,diameter,shuckedweight,shellweight,class
F,0.525,0.415,0.3475,0.175,8
F,0.53,0.425,0.325,0.205,8
M,0.53,0.405,0.2715,0.186,7
F,0.535,0.4,0.3935,0.205,8
M,0.535,0.43,0.2855,0.2155,8
M,0.535,0.435,0.3735,0.2195,8
F,0.55,0.43,0.368,0.275,9
F,0.56,0.455,0.4525,0.274,9
F,0.565,0.4,0.3075,0.18,8
M,0.57,0.45,0.5625,0.295,10
M,0.57,0.45,0.513,0.343,10
F,0.57,0.455,0.54,0.27,8
M,0.57,0.445,0.5265,0.24,8
M,0.575,0.475,0.4955,0.29,9
F,0.575,0.46,0.538,0.249,9
F,0.58,0.46,0.4095,0.276,8
M,0.58,0.455,0.4985,0.2835,10
F,0.58,0.45,0.5585,0.29,8
M,0.58,0.49,0.586,0.237,9
M,0.59,0.465,0.5245,0.275,11
F,0.59,0.455,0.5155,0.25,8
F,0.595,0.47,0.4515,0.155,11
F,0.595,0.46,0.4655,0.2515,9
M,0.595,0.455,0.518,0.27,9
F,0.605,0.49,0.5265,0.295,9
M,0.605,0.475,0.572,0.275,9
M,0.605,0.47,0.6025,0.2925,11
M,0.61,0.47,0.565,0.3085,11
M,0.61,0.475,0.554,0.3295,10
F,0.615,0.48,0.585,0.33,8
F,0.625,0.48,0.6235,0.365,10
M,0.625,0.49,0.5705,0.405,10
F,0.625,0.475,0.4755,0.349,10
F,0.625,0.485,0.5845,0.401,9
M,0.63,0.485,0.637,0.31,8
F,0.63,0.495,0.599,0.315,11
M,0.63,0.48,0.5185,0.3235,8
M,0.635,0.49,0.623,0.395,11
M,0.635,0.525,0.684,0.3745,10
F,0.64,0.5,0.4935,0.4,10
F,0.645,0.5,0.6145,0.3185,10
M,0.645,0.52,0.779,0.432,11
M,0.645,0.52,0.709,0.4,8
F,0.645,0.505,0.684,0.336,8
M,0.645,0.5,0.633,0.349,11
F,0.645,0.5,0.5475,0.3,10
M,0.65,0.52,0.6665,0.46,11
M,0.65,0.525,0.6645,0.477,10
F,0.655,0.46,0.6895,0.1825,9
F,0.655,0.51,0.8515,0.403,10
F,0.66,0.505,0.69,0.441,11
M,0.66,0.535,0.6425,0.5175,9
F,0.66,0.475,0.641,0.335,6
M,0.67,0.525,0.682,0.4005,11
F,0.675,0.565,0.7645,0.553,12
M,0.68,0.535,0.7245,0.498,12
M,0.69,0.525,0.8255,0.405,8
F,0.705,0.535,0.693,0.4045,12
M,0.71,0.565,1.012,0.5475,11
F,0.715,0.525,0.6655,0.405,11
F,0.735,0.6,1.1335,0.6,11
I,0.195,0.15,0.018,0.011,3
I,0.195,0.135,0.0135,0.0095,4
I,0.225,0.165,0.027,0.015,4
I,0.245,0.18,0.03,0.0215,4
I,0.25,0.18,0.0245,0.0225,5
I,0.265,0.195,0.0365,0.025,7
I,0.285,0.22,0.0405,0.03,5
I,0.3,0.22,0.055,0.039,6
I,0.315,0.235,0.065,0.039,6
I,0.32,0.225,0.0675,0.0405,6
I,0.34,0.265,0.09,0.055,5
I,0.37,0.28,0.1165,0.0635,6
I,0.375,0.28,0.1125,0.067,6
I,0.385,0.29,0.122,0.065,7
I,0.4,0.32,0.194,0.087,6
I,0.42,0.32,0.174,0.105,7
I,0.42,0.31,0.1255,0.088,6
I,0.425,0.325,0.162,0.1045,7
I,0.435,0.345,0.222,0.106,7
I,0.445,0.345,0.1675,0.117,7
I,0.445,0.34,0.1945,0.13,7
I,0.45,0.365,0.2135,0.1315,8
I,0.45,0.33,0.1865,0.0975,7
I,0.45,0.33,0.16,0.102,6
I,0.46,0.35,0.18,0.1175,7
I,0.47,0.38,0.211,0.142,6
I,0.475,0.35,0.206,0.13,6
I,0.475,0.35,0.2165,0.115,7
M,0.49,0.465,0.235,0.141,7
I,0.5,0.375,0.248,0.1585,7
I,0.5,0.38,0.2485,0.134,8
F,0.505,0.39,0.246,0.1405,7
I,0.51,0.405,0.3465,0.182,8
F,0.51,0.4,0.261,0.1385,6
I,0.515,0.385,0.3175,0.15,8
M,0.52,0.4,0.3525,0.185,9
I,0.52,0.38,0.2295,0.157,8
I,0.52,0.38,0.288,0.167,8
F,0.52,0.46,0.523,0.254,7
I,0.525,0.4,0.2625,0.1835,9
M,0.525,0.405,0.3755,0.201,9
I,0.525,0.395,0.297,0.1405,8
I,0.53,0.4,0.279,0.19,8
I,0.535,0.39,0.2595,0.169,9
I,0.54,0.42,0.3125,0.1895,10
M,0.545,0.39,0.4225,0.156,7
M,0.545,0.41,0.434,0.19,9
M,0.545,0.415,0.4615,0.218,9
F,0.55,0.415,0.427,0.175,8
F,0.55,0.43,0.395,0.223,8
M,0.56,0.43,0.464,0.234,9
M,0.56,0.445,0.42,0.2215,8
F,0.56,0.44,0.336,0.245,8
M,0.565,0.455,0.4565,0.23,9
M,0.565,0.435,0.5795,0.206,8
F,0.565,0.45,0.447,0.2645,9
M,0.57,0.46,0.5415,0.25,9
F,0.57,0.445,0.412,0.22,8
F,0.575,0.46,0.466,0.265,7
M,0.575,0.435,0.401,0.222,9
F,0.575,0.47,0.435,0.238,9
M,0.575,0.455,0.4245,0.26,9
M,0.575,0.445,0.549,0.228,9
M,0.58,0.455,0.4765,0.265,8
M,0.58,0.455,0.945,0.441,9
M,0.58,0.445,0.3775,0.22,9
M,0.58,0.45,0.547,0.2295,8
F,0.58,0.45,0.385,0.265,9
M,0.585,0.465,0.4595,0.265,7
F,0.6,0.475,0.485,0.2565,9
M,0.6,0.455,0.696,0.24,8
F,0.605,0.47,0.611,0.292,9
M,0.605,0.475,0.555,0.274,9
M,0.605,0.48,0.582,0.317,10
F,0.605,0.475,0.433,0.357,9
M,0.61,0.485,0.5315,0.2415,8
M,0.61,0.485,0.783,0.2865,9
M,0.61,0.47,0.498,0.267,9
F,0.615,0.465,0.4615,0.2415,9
F,0.615,0.475,0.447,0.285,9
M,0.62,0.47,0.5315,0.2475,8
M,0.62,0.45,0.4285,0.2405,8
F,0.62,0.48,0.5635,0.281,8
F,0.625,0.485,0.7335,0.332,9
M,0.625,0.48,0.587,0.286,8
M,0.63,0.47,0.589,0.287,8
M,0.63,0.5,0.5635,0.3425,10
F,0.635,0.495,0.5115,0.2885,9
M,0.64,0.515,0.632,0.358,10
F,0.645,0.48,0.528,0.305,10
F,0.65,0.5,0.6415,0.4245,9
M,0.65,0.5,0.565,0.294,11
M,0.655,0.515,0.553,0.345,11
F,0.66,0.53,0.546,0.476,11
M,0.665,0.525,0.629,0.34,8
F,0.67,0.505,0.6075,0.353,9
F,0.685,0.54,0.664,0.4735,14
M,0.685,0.52,0.699,0.4,10
F,0.69,0.54,0.624,0.39,9
M,0.695,0.56,0.885,0.4375,10
F,0.7,0.525,0.8545,0.3995,9
M,0.715,0.55,1.0465,0.5075,12
M,0.715,0.535,0.889,0.42,10
F,0.72,0.58,1.0265,0.5375,10
F,0.72,0.55,0.9035,0.5215,10
M,0.72,0.565,0.691,0.2685,8
F,0.73,0.575,0.931,0.4825,12
M,0.735,0.585,0.952,0.5,11
M,0.745,0.565,0.896,0.5,11
F,0.755,0.625,1.1965,0.6785,11
M,0.755,0.58,0.8295,0.595,10
F,0.78,0.63,1.488,0.586,11
I,0.185,0.375,0.196,0.15,6
I,0.245,0.205,0.034,0.0215,4
I,0.25,0.185,0.0295,0.0225,5
I,0.25,0.19,0.039,0.025,5
I,0.275,0.195,0.0545,0.0355,6
I,0.305,0.215,0.044,0.038,5
I,0.31,0.225,0.435,0.04,5
I,0.315,0.23,0.0545,0.0445,5
I,0.315,0.23,0.046,0.0385,5
I,0.325,0.225,0.0565,0.09,6
I,0.33,0.25,0.102,0.052,7
I,0.33,0.205,0.077,0.0435,5
I,0.335,0.245,0.096,0.048,7
I,0.34,0.25,0.0775,0.055,6
I,0.35,0.27,0.1,0.065,6
I,0.35,0.255,0.0855,0.0525,8
I,0.365,0.27,0.081,0.058,6
I,0.37,0.28,0.1095,0.062,6
I,0.375,0.29,0.118,0.0695,7
I,0.375,0.275,0.11,0.0775,6
I,0.375,0.27,0.0945,0.07,7
I,0.38,0.275,0.11,0.0755,6
I,0.385,0.28,0.097,0.067,8
I,0.385,0.3,0.152,0.0735,7
I,0.385,0.28,0.1025,0.0655,5
I,0.4,0.29,0.1205,0.0765,5
I,0.405,0.285,0.1265,0.075,6
I,0.41,0.335,0.157,0.17,7
I,0.42,0.305,0.168,0.082,6
I,0.425,0.32,0.126,0.106,7
I,0.425,0.31,0.1385,0.08,7
I,0.43,0.34,0.2065,0.115,8
I,0.43,0.315,0.175,0.1045,8
I,0.435,0.315,0.1615,0.12,7
I,0.45,0.33,0.208,0.12,9
I,0.455,0.345,0.164,0.126,8
F,0.455,0.365,0.184,0.1245,8
I,0.455,0.33,0.358,0.11,8
I,0.46,0.36,0.2225,0.11,7
I,0.46,0.35,0.1575,0.114,9
F,0.46,0.365,0.206,0.141,8
I,0.465,0.34,0.1425,0.113,11
I,0.475,0.355,0.2535,0.14,8
I,0.475,0.38,0.1785,0.1505,8
I,0.475,0.36,0.211,0.15,8
I,0.48,0.355,0.2065,0.132,8
I,0.48,0.365,0.2205,0.135,8
I,0.495,0.38,0.2185,0.16,7
M,0.495,0.395,0.224,0.167,8
I,0.5,0.38,0.2945,0.1565,9
M,0.5,0.42,0.302,0.2065,9
I,0.5,0.375,0.239,0.185,9
I,0.5,0.41,0.2585,0.196,9
I,0.5,0.375,0.259,0.157,7
I,0.5,0.395,0.2925,0.195,9
I,0.505,0.405,0.3015,0.18,8
I,0.505,0.38,0.2595,0.18,7
I,0.505,0.395,0.248,0.171,8
I,0.515,0.38,0.3265,0.16,7
I,0.515,0.42,0.337,0.205,13
I,0.52,0.395,0.3005,0.1905,9
I,0.525,0.4,0.369,0.164,9
M,0.525,0.42,0.428,0.2045,9
I,0.53,0.415,0.3905,0.167,9
I,0.53,0.42,0.4725,0.192,10
I,0.53,0.425,0.419,0.21,9
I,0.535,0.4,0.2895,0.154,9
I,0.535,0.415,0.3595,0.225,8
F,0.535,0.41,0.335,0.2075,9
F,0.54,0.42,0.4315,0.2175,10
I,0.545,0.435,0.372,0.227,8
I,0.545,0.43,0.302,0.2545,10
I,0.545,0.405,0.27,0.185,8
I,0.55,0.43,0.3745,0.223,11
F,0.55,0.405,0.2965,0.2,9
M,0.55,0.43,0.413,0.248,9
I,0.55,0.435,0.3285,0.2325,10
M,0.555,0.44,0.407,0.255,9
I,0.555,0.425,0.3485,0.225,9
I,0.56,0.425,0.3095,0.2165,9
F,0.56,0.445,0.5565,0.2695,10
I,0.56,0.455,0.547,0.235,9
I,0.565,0.44,0.414,0.21,11
F,0.565,0.45,0.4215,0.225,8
M,0.565,0.445,0.3635,0.219,8
M,0.565,0.39,0.352,0.1685,11
I,0.57,0.45,0.2825,0.2215,10
I,0.57,0.45,0.3815,0.245,8
I,0.57,0.44,0.347,0.202,10
M,0.57,0.435,0.383,0.275,9
F,0.575,0.42,0.461,0.2125,10
F,0.575,0.48,0.511,0.306,9
M,0.58,0.46,0.6715,0.2955,10
M,0.585,0.465,0.4555,0.235,9
M,0.585,0.49,0.522,0.335,10
I,0.585,0.475,0.48,0.285,10
M,0.585,0.46,0.5825,0.274,10
M,0.585,0.47,0.8,0.295,10
M,0.585,0.45,0.336,0.237,8
I,0.59,0.445,0.328,0.23,9
M,0.59,0.47,0.5985,0.31,9
M,0.59,0.455,0.388,0.275,10
F,0.595,0.465,0.4645,0.305,12
M,0.6,0.48,0.451,0.325,11
F,0.6,0.465,0.4755,0.28,11
M,0.6,0.46,0.4455,0.295,11
I,0.605,0.485,0.6315,0.33,11
I,0.605,0.435,0.432,0.26,11
F,0.605,0.475,0.463,0.335,9
F,0.605,0.47,0.5405,0.275,12
M,0.61,0.45,0.407,0.25,10
M,0.61,0.48,0.6345,0.305,12
M,0.61,0.475,0.435,0.3035,10
I,0.61,0.465,0.4495,0.286,9
M,0.61,0.48,0.4565,0.347,10
M,0.61,0.46,0.494,0.275,10
F,0.615,0.475,0.4475,0.2895,10
F,0.615,0.475,0.4905,0.3035,12
M,0.615,0.475,0.4795,0.3,10
M,0.615,0.48,0.446,0.3,9
F,0.615,0.475,0.484,0.355,10
M,0.62,0.51,0.5715,0.39,10
F,0.62,0.5,0.596,0.354,10
F,0.62,0.475,0.463,0.33,10
M,0.625,0.455,0.4955,0.315,9
F,0.625,0.505,0.5475,0.3045,11
F,0.625,0.515,0.5715,0.321,9
I,0.63,0.505,0.6025,0.315,11
M,0.63,0.485,0.5065,0.3365,12
I,0.63,0.475,0.5165,0.28,10
M,0.63,0.495,0.497,0.315,12
M,0.635,0.49,0.534,0.3455,10
F,0.635,0.5,0.705,0.39,9
F,0.635,0.495,0.707,0.323,9
M,0.635,0.475,0.5205,0.3665,10
M,0.635,0.51,0.405,0.31,10
M,0.64,0.565,0.644,0.406,15
M,0.645,0.51,0.556,0.345,11
M,0.645,0.5,0.6165,0.3725,10
M,0.645,0.525,0.7455,0.4325,11
F,0.65,0.505,0.4785,0.349,11
F,0.65,0.59,0.77,0.435,11
M,0.65,0.525,0.6865,0.405,11
M,0.65,0.51,0.7155,0.375,9
F,0.65,0.51,0.7245,0.391,10
F,0.655,0.525,0.564,0.3985,10
M,0.655,0.49,0.6395,0.365,10
F,0.66,0.515,0.615,0.3575,10
F,0.665,0.53,0.6345,0.435,10
F,0.67,0.505,0.4375,0.3745,10
M,0.675,0.545,0.876,0.469,13
M,0.685,0.545,0.8145,0.461,9
F,0.695,0.565,0.7465,0.4975,11
M,0.705,0.555,1.0465,0.528,11
F,0.705,0.57,0.96,0.43,12
F,0.71,0.55,0.743,0.45,11
F,0.72,0.575,0.913,0.51,13
M,0.72,0.575,0.9515,0.5365,12
F,0.725,0.6,0.697,0.595,11
F,0.73,0.58,0.6785,0.52,11
F,0.735,0.565,0.949,0.565,12
F,0.75,0.61,1.232,0.612,14
F,0.815,0.65,0.8905,0.7975,14
I,0.23,0.165,0.019,0.036,4
I,0.365,0.265,0.105,0.0605,7
I,0.365,0.255,0.0785,0.053,5
I,0.37,0.27,0.1325,0.0615,6
I,0.385,0.3,0.1225,0.0675,5
I,0.395,0.295,0.143,0.0765,5
I,0.4,0.29,0.188,0.0825,6
I,0.405,0.31,0.1785,0.0855,8
I,0.405,0.29,0.112,0.0815,7
I,0.41,0.32,0.141,0.073,5
I,0.425,0.34,0.2015,0.088,6
I,0.44,0.34,0.164,0.1015,5
M,0.44,0.32,0.2435,0.1025,8
I,0.44,0.365,0.213,0.1135,9
M,0.45,0.335,0.2165,0.11,6
I,0.455,0.335,0.274,0.1065,7
I,0.46,0.355,0.1975,0.125,8
I,0.47,0.345,0.229,0.116,9
I,0.47,0.35,0.19,0.1175,6
M,0.475,0.37,0.347,0.142,8
I,0.475,0.365,0.2175,0.1165,7
F,0.475,0.365,0.281,0.1335,7
I,0.48,0.36,0.2795,0.147,7
I,0.485,0.38,0.2075,0.147,6
M,0.485,0.37,0.2485,0.1555,6
F,0.495,0.38,0.2655,0.144,7
M,0.505,0.385,0.239,0.1555,9
I,0.515,0.395,0.2695,0.17,8
M,0.515,0.425,0.497,0.2185,8
M,0.525,0.4,0.3685,0.1735,8
I,0.53,0.43,0.346,0.189,9
M,0.53,0.4,0.398,0.175,8
F,0.545,0.41,0.3565,0.203,9
M,0.55,0.425,0.343,0.215,9
F,0.56,0.43,0.453,0.22,8
F,0.56,0.435,0.4755,0.1835,9
M,0.585,0.455,0.4095,0.2335,8
F,0.59,0.465,0.613,0.2515,9
F,0.59,0.46,0.453,0.275,8
F,0.595,0.455,0.452,0.288,9
M,0.6,0.455,0.4365,0.25,8
F,0.605,0.485,0.4535,0.2765,11
F,0.605,0.515,0.6,0.3315,9
I,0.615,0.475,0.353,0.251,8
M,0.62,0.485,0.462,0.25,10
F,0.62,0.435,0.477,0.275,8
M,0.62,0.48,0.4815,0.312,9
M,0.625,0.52,0.691,0.3465,10
M,0.625,0.47,0.451,0.305,11
M,0.63,0.47,0.52,0.276,9
F,0.63,0.5,0.467,0.329,10
M,0.63,0.455,0.481,0.305,9
M,0.63,0.48,0.6605,0.31,11
F,0.635,0.505,0.505,0.315,10
M,0.635,0.51,0.544,0.377,8
F,0.64,0.515,0.6635,0.4025,9
F,0.645,0.515,0.7035,0.415,10
F,0.645,0.505,0.55,0.335,11
F,0.65,0.545,0.59,0.495,10
M,0.65,0.515,0.677,0.4,10
M,0.65,0.485,0.475,0.215,8
F,0.655,0.54,0.695,0.444,11
M,0.655,0.51,0.8885,0.4195,11
M,0.66,0.505,0.589,0.345,10
F,0.665,0.515,0.5945,0.395,10
M,0.67,0.545,0.833,0.41,11
M,0.67,0.51,0.651,0.345,10
M,0.67,0.5,0.616,0.415,10
M,0.68,0.515,0.8415,0.395,11
M,0.69,0.525,0.9165,0.461,12
F,0.7,0.55,0.7535,0.32,11
M,0.7,0.555,0.73,0.595,11
M,0.705,0.56,0.797,0.388,10
M,0.72,0.565,1.017,0.494,12
M,0.725,0.575,1.351,0.5015,13
M,0.74,0.57,0.9115,0.446,10
M,0.75,0.55,0.942,0.445,11
I,0.21,0.17,0.019,0.013,5
I,0.285,0.21,0.0415,0.0335,5
I,0.3,0.23,0.05,0.0415,6
I,0.335,0.255,0.079,0.05,5
I,0.35,0.26,0.09,0.055,5
I,0.355,0.27,0.079,0.054,6
I,0.355,0.26,0.0715,0.058,7
I,0.36,0.27,0.073,0.061,8
I,0.36,0.275,0.0985,0.066,7
I,0.365,0.27,0.0935,0.066,7
I,0.375,0.28,0.0935,0.07,7
I,0.38,0.285,0.0895,0.075,7
I,0.385,0.28,0.119,0.07,7
I,0.39,0.3,0.1065,0.08,7
I,0.39,0.285,0.1275,0.077,7
I,0.41,0.3,0.129,0.0955,8
I,0.41,0.3,0.141,0.075,8
I,0.415,0.325,0.139,0.0965,7
I,0.425,0.315,0.131,0.095,7
I,0.45,0.34,0.1385,0.105,8
I,0.45,0.335,0.181,0.1345,7
I,0.46,0.355,0.2015,0.13,7
I,0.465,0.37,0.188,0.147,9
I,0.465,0.345,0.1825,0.12,8
I,0.47,0.355,0.21,0.155,8
I,0.475,0.36,0.2825,0.19,8
I,0.475,0.36,0.205,0.125,8
I,0.48,0.37,0.179,0.175,9
I,0.48,0.37,0.251,0.15,8
M,0.48,0.355,0.221,0.239,8
I,0.49,0.4,0.3035,0.169,8
I,0.495,0.4,0.2505,0.19,8
I,0.5,0.375,0.2375,0.169,9
I,0.51,0.395,0.281,0.162,7
I,0.515,0.36,0.1815,0.138,9
I,0.515,0.35,0.213,0.1275,10
I,0.515,0.395,0.32,0.17,8
I,0.52,0.39,0.2355,0.1895,7
M,0.525,0.415,0.3525,0.2875,8
I,0.525,0.39,0.3115,0.178,9
I,0.525,0.38,0.261,0.175,8
I,0.525,0.4,0.305,0.169,7
M,0.525,0.4,0.282,0.225,9
I,0.53,0.42,0.2555,0.177,7
I,0.53,0.43,0.245,0.2135,10
I,0.53,0.42,0.3745,0.249,11
I,0.535,0.4,0.2835,0.175,7
I,0.54,0.43,0.3725,0.24,9
I,0.54,0.425,0.32,0.25,9
M,0.54,0.455,0.419,0.269,10
I,0.54,0.42,0.2505,0.235,9
I,0.54,0.425,0.2955,0.225,10
I,0.54,0.425,0.3475,0.213,8
I,0.545,0.4,0.3285,0.18,9
M,0.55,0.435,0.327,0.259,10
I,0.55,0.425,0.269,0.217,9
I,0.55,0.425,0.339,0.21,8
I,0.555,0.395,0.222,0.17,9
I,0.555,0.435,0.3945,0.206,8
I,0.555,0.46,0.3845,0.2765,11
I,0.56,0.445,0.3685,0.236,10
M,0.56,0.425,0.3265,0.2645,10
M,0.565,0.44,0.3595,0.215,9
M,0.565,0.43,0.4245,0.219,10
F,0.57,0.45,0.3345,0.21,8
I,0.57,0.435,0.4,0.25,9
I,0.57,0.445,0.3705,0.28,9
I,0.57,0.445,0.306,0.1825,12
M,0.575,0.455,0.3765,0.268,8
I,0.575,0.425,0.364,0.239,10
F,0.575,0.47,0.509,0.34,10
I,0.575,0.45,0.3275,0.235,9
M,0.575,0.47,0.3745,0.355,10
F,0.575,0.465,0.417,0.47,8
I,0.575,0.45,0.3615,0.254,10
F,0.575,0.435,0.4605,0.36,8
M,0.575,0.445,0.4005,0.239,9
M,0.58,0.43,0.365,0.2285,10
I,0.58,0.445,0.303,0.235,9
F,0.585,0.445,0.4305,0.253,10
M,0.59,0.49,0.559,0.309,10
I,0.59,0.45,0.428,0.265,10
I,0.59,0.46,0.419,0.26,11
M,0.595,0.45,0.3965,0.217,10
I,0.595,0.46,0.377,0.235,8
F,0.6,0.46,0.427,0.3,8
F,0.6,0.475,0.575,0.305,9
M,0.6,0.48,0.4135,0.2725,9
F,0.6,0.48,0.4495,0.325,10
M,0.6,0.47,0.504,0.275,9
M,0.6,0.47,0.5625,0.2635,10
F,0.605,0.455,0.468,0.275,9
I,0.605,0.47,0.379,0.22,9
F,0.605,0.48,0.4735,0.24,8
F,0.605,0.47,0.393,0.3345,9
F,0.605,0.505,0.7285,0.431,11
M,0.61,0.475,0.4565,0.266,10
F,0.61,0.485,0.6025,0.3085,12
F,0.61,0.475,0.3835,0.379,10
I,0.61,0.465,0.436,0.26,9
M,0.61,0.47,0.5225,0.31,9
M,0.615,0.47,0.473,0.28,10
M,0.615,0.475,0.6035,0.311,9
I,0.62,0.485,0.4935,0.315,12
M,0.62,0.515,0.535,0.395,13
F,0.62,0.54,0.4995,0.357,11
I,0.62,0.49,0.446,0.305,11
F,0.62,0.48,0.582,0.313,12
I,0.62,0.47,0.3595,0.295,9
I,0.62,0.45,0.358,0.2965,10
M,0.62,0.48,0.6285,0.309,12
F,0.62,0.48,0.464,0.3,9
M,0.625,0.49,0.4895,0.3325,11
M,0.625,0.475,0.5005,0.3105,10
M,0.625,0.5,0.4645,0.354,9
I,0.625,0.47,0.643,0.3145,12
F,0.625,0.485,0.6765,0.3705,10
I,0.625,0.485,0.438,0.278,9
M,0.63,0.505,0.4615,0.3,9
F,0.63,0.5,0.514,0.3995,8
M,0.63,0.485,0.6565,0.3035,10
M,0.63,0.495,0.605,0.328,11
I,0.635,0.5,0.715,0.3615,13
M,0.635,0.5,0.611,0.418,12
F,0.635,0.49,0.5805,0.305,10
F,0.635,0.49,0.5385,0.38,9
F,0.64,0.505,0.5215,0.36,10
M,0.64,0.515,0.5475,0.3685,10
M,0.64,0.525,0.763,0.4435,11
M,0.645,0.505,0.519,0.335,10
M,0.645,0.5,0.5645,0.386,12
M,0.645,0.5,0.741,0.3845,14
M,0.645,0.51,0.605,0.48,9
M,0.645,0.51,0.5885,0.3745,10
M,0.645,0.51,0.6665,0.317,9
M,0.645,0.5,0.554,0.415,10
F,0.645,0.51,0.573,0.36,10
M,0.645,0.485,0.5695,0.33,9
F,0.65,0.495,0.615,0.335,9
M,0.65,0.505,0.59,0.391,11
M,0.65,0.525,0.665,0.378,11
M,0.65,0.51,0.6385,0.3665,9
F,0.655,0.505,0.688,0.363,11
M,0.66,0.5,0.667,0.341,9
F,0.66,0.535,0.711,0.415,12
M,0.66,0.53,0.6505,0.495,10
M,0.665,0.525,0.6635,0.353,11
M,0.665,0.505,0.6145,0.3665,11
F,0.665,0.505,0.631,0.32,11
M,0.665,0.52,0.606,0.395,12
M,0.665,0.5,0.6075,0.315,9
M,0.67,0.505,0.6255,0.308,12
M,0.67,0.52,0.711,0.3,11
F,0.67,0.52,0.5235,0.4275,13
F,0.67,0.54,0.74,0.465,11
M,0.675,0.525,0.572,0.3545,13
F,0.675,0.51,0.6045,0.3965,10
M,0.68,0.52,0.592,0.4125,10
F,0.69,0.55,0.687,0.46,12
M,0.7,0.565,0.8445,0.54,10
F,0.7,0.535,0.6805,0.512,15
F,0.705,0.545,0.6435,0.265,11
M,0.71,0.575,0.9895,0.502,11
F,0.71,0.54,0.802,0.435,10
M,0.71,0.56,0.9215,0.566,11
M,0.72,0.55,1.1455,0.511,13
F,0.72,0.525,0.631,0.435,7
F,0.725,0.565,1.03,0.503,14
F,0.73,0.56,0.799,0.5655,11
M,0.735,0.59,0.7275,0.557,11
F,0.74,0.565,0.9655,0.482,12
M,0.75,0.595,1.083,0.63,12
I,0.275,0.175,0.096,0.0705,5
I,0.375,0.245,0.166,0.1125,6
F,0.375,0.27,0.272,0.1675,7
M,0.39,0.28,0.3035,0.143,7
I,0.435,0.3,0.259,0.1645,8
I,0.455,0.335,0.229,0.1,6
I,0.455,0.325,0.4005,0.211,8
I,0.455,0.345,0.207,0.1215,8
I,0.485,0.365,0.195,0.182,8
M,0.485,0.37,0.419,0.2365,9
I,0.485,0.345,0.3085,0.319,9
M,0.5,0.37,0.494,0.296,9
M,0.515,0.395,0.472,0.252,8
F,0.535,0.425,0.3765,0.1795,8
I,0.535,0.385,0.4955,0.304,8
I,0.545,0.42,0.4235,0.228,8
F,0.545,0.415,0.567,0.403,10
F,0.545,0.385,0.5425,0.2845,9
F,0.55,0.38,0.543,0.3345,10
M,0.55,0.42,0.6325,0.344,10
I,0.575,0.45,0.403,0.213,10
I,0.585,0.45,0.3975,0.253,8
M,0.6,0.495,0.6195,0.3285,11
M,0.6,0.465,0.4975,0.251,9
M,0.605,0.475,0.5575,0.343,9
M,0.605,0.475,0.575,0.297,10
F,0.61,0.475,0.5195,0.3005,11
M,0.62,0.47,0.511,0.2565,10
M,0.625,0.49,0.5275,0.344,11
F,0.635,0.475,0.533,0.291,10
F,0.64,0.475,0.4895,0.31,8
M,0.645,0.5,0.672,0.315,9
M,0.65,0.525,0.777,0.3965,11
M,0.65,0.485,0.5715,0.3075,10
F,0.655,0.52,0.713,0.466,9
M,0.655,0.545,0.6325,0.378,10
F,0.675,0.53,0.6775,0.389,10
F,0.695,0.55,0.805,0.3965,10
F,0.705,0.545,0.6075,0.4645,13
F,0.72,0.55,1.0715,0.5015,9
M,0.72,0.56,0.691,0.4425,11
M,0.73,0.575,0.9285,0.643,11
I,0.185,0.135,0.0105,0.009,5
I,0.31,0.215,0.0565,0.036,7
I,0.34,0.26,0.0815,0.06,6
I,0.35,0.265,0.09,0.06,7
I,0.365,0.27,0.0815,0.065,6
I,0.365,0.275,0.098,0.075,7
I,0.365,0.27,0.095,0.07,6
I,0.405,0.3,0.103,0.11,6
I,0.415,0.31,0.114,0.0975,6
I,0.415,0.31,0.1125,0.115,8
I,0.42,0.325,0.1675,0.1135,11
I,0.43,0.34,0.1395,0.12,8
I,0.435,0.33,0.1515,0.11,7
I,0.435,0.33,0.156,0.105,8
I,0.435,0.345,0.13,0.1185,7
I,0.445,0.33,0.1525,0.1185,8
I,0.485,0.36,0.2465,0.147,8
I,0.485,0.37,0.1885,0.15,9
I,0.495,0.38,0.205,0.1505,8
I,0.5,0.38,0.28,0.15,9
I,0.505,0.405,0.2245,0.225,11
I,0.505,0.4,0.334,0.207,8
I,0.52,0.395,0.2445,0.165,9
I,0.525,0.415,0.2805,0.1695,9
I,0.525,0.4,0.248,0.175,9
I,0.53,0.43,0.298,0.23,8
I,0.53,0.43,0.321,0.24,9
I,0.53,0.395,0.247,0.183,9
I,0.535,0.455,0.53,0.244,9
F,0.54,0.425,0.3675,0.295,9
I,0.54,0.39,0.2525,0.19,8
I,0.545,0.43,0.2615,0.25,9
M,0.555,0.41,0.2345,0.194,8
M,0.555,0.4,0.332,0.18,7
I,0.555,0.45,0.304,0.22,9
M,0.555,0.455,0.382,0.235,9
I,0.56,0.445,0.3455,0.279,9
F,0.565,0.445,0.3135,0.23,11
M,0.565,0.455,0.421,0.26,11
I,0.565,0.435,0.3975,0.255,9
M,0.565,0.45,0.415,0.246,9
I,0.565,0.46,0.3755,0.25,10
M,0.57,0.455,0.3585,0.277,11
M,0.57,0.415,0.4275,0.238,13
F,0.57,0.44,0.382,0.234,9
M,0.575,0.45,0.495,0.235,9
