sex,length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight
M,0.53,0.41,155,0.7155,0.2805,0.1685,214
M,0.44,335,0.11,394,157,96,122
F,425,345,0.11,0.3665,125,81,117
M,0.46,0.34,135,495,0.1655,117,185
I,0.37,275,0.1,0.22,94,45,65
M,515,0.38,135,0.6615,0.2875,0.2095,155
I,0.28,205,0.07,0.1015,41,0.03,0.03
F,0.48,0.4,125,759,0.2125,179,0.24
F,0.44,0.34,0.13,0.4195,153,0.1155,0.13
F,0.52,0.41,115,807,0.2855,179,235
M,505,405,0.14,875,0.2665,174,285
I,235,175,55,67,27,0.0125,18
I,255,185,0.06,88,0.0365,21,23
I,315,0.24,85,0.1715,71,0.0345,0.0535
I,325,0.25,0.08,0.1735,0.0765,0.0345,49
I,0.35,0.27,0.09,0.2055,75,0.0575,62
I,0.35,0.25,0.07,0.18,0.0655,48,54
I,0.37,275,0.14,0.2215,97,0.0455,0.0615
I,0.38,275,95,0.1375,86,0.0585,0.0605
I,385,0.29,95,312,143,0.0635,86
I,385,0.3,0.1,0.2895,0.1215,63,0.09
I,395,0.29,95,319,138,0.08,82
I,0.4,0.31,0.1,306,0.13,0.06,94
I,0.41,325,0.1,394,208,0.0655,106
I,415,0.32,0.11,0.3735,175,0.0755,109
M,415,305,0.1,325,156,0.0505,91
I,425,325,0.1,398,0.1185,0.0645,0.0945
I,0.44,365,115,501,0.2435,84,0.1465
I,445,335,0.1,0.4895,0.2745,86,0.1105
I,445,325,0.1,378,0.1795,0.1,89
I,0.45,0.35,0.13,547,245,0.1405,0.1405
M,0.47,375,0.12,0.5805,266,0.0935,169
I,485,355,105,498,0.2175,96,0.1525
F,495,0.41,125,0.7555,0.3355,129,214
M,0.5,0.4,125,0.5975,0.27,0.1275,166
M,505,0.44,0.14,0.8275,0.3415,0.1855,239
M,525,395,0.13,0.7635,0.3375,0.1425,225
M,0.54,405,125,891,0.4815,0.1915,202
F,0.54,0.42,0.14,805,369,0.1725,0.21
F,545,0.44,135,0.9185,429,0.2015,0.2375
M,0.55,0.45,0.15,1.0145,407,0.2015,0.2875
F,0.55,0.45,0.15,875,362,0.1755,0.2765
M,565,0.45,155,1.0595,0.4735,0.24,265
M,0.57,455,0.15,952,0.3895,0.2155,0.2745
M,0.57,435,0.13,0.7535,349,0.1755,194
F,575,465,0.14,958,442,0.1815,0.2705
M,0.59,0.46,0.13,1102,455,0.2055,0.33
F,595,0.48,0.15,1.11,498,228,0.33
F,595,0.48,0.16,1.2095,0.5225,296,0.32
F,595,475,0.16,1.1405,547,231,271
F,595,465,0.14,1113,0.5175,244,305
M,0.6,475,175,1.3445,549,0.2875,0.36
F,0.6,475,155,1.21,653,0.1695,0.3205
M,0.6,495,175,1.29,606,276,0.3445
M,605,455,0.16,1.1035,421,0.3015,325
F,615,0.5,175,1377,0.5585,0.33,292
F,615,0.52,0.15,1.3435,629,0.2605,345
M,615,0.51,0.15,1296,545,0.3315,0.32
M,615,505,165,1.34,0.5315,0.2815,0.41
F,0.62,505,0.16,1.3725,0.6285,275,0.3685
M,0.62,0.5,165,1307,0.6355,0.2545,315
F,625,0.49,155,1.2085,465,162,411
F,625,0.49,0.2,1.3825,0.5895,285,381
M,635,0.51,0.17,1.3555,619,305,0.39
F,635,0.5,0.15,1376,0.6495,361,0.31
F,635,485,165,1.2945,668,0.2605,0.2715
F,0.64,0.51,165,1486,0.7595,332,321
M,0.65,525,175,1.4715,675,315,399
M,655,0.52,165,1.4095,586,291,405
M,0.66,0.52,0.19,1558,755,298,0.4
F,675,525,155,1.4785,628,0.3405,0.42
F,0.68,0.56,195,1.7775,861,322,415
F,695,0.56,0.22,1834,0.8455,422,455
I,0.24,175,65,0.0665,31,0.0135,17
I,265,195,0.06,92,0.0345,25,0.0245
I,0.28,0.12,75,117,0.0455,29,0.0345
I,295,0.23,0.08,0.1625,65,0.05,0.0385
I,0.3,235,0.08,131,0.05,0.0265,43
I,0.3,0.23,95,0.1385,56,0.0365,37
I,305,0.22,0.07,141,62,31,37
I,315,235,75,0.1485,0.0585,0.0375,0.0425
I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425
I,325,0.24,75,187,0.0825,0.0445,0.05
I,335,0.25,75,186,0.0945,38,0.0445
I,0.34,0.25,75,0.1785,0.0665,0.0455,45
I,0.34,0.25,0.07,0.2225,104,0.0425,55
I,0.37,0.29,95,249,0.1045,58,67
I,0.37,0.28,95,0.2865,0.1505,69,0.0795
I,375,0.28,0.09,215,84,0.06,55
I,0.41,305,0.09,0.3535,157,0.0745,0.1
I,0.41,0.31,0.09,0.3335,0.1635,61,91
I,0.42,0.32,115,376,169,92,0.1
I,0.42,315,0.1,0.3435,157,0.0795,0.09
I,425,315,0.1,377,0.1645,72,105
I,0.43,325,0.1,0.3645,0.1575,0.0825,105
I,435,325,0.12,0.3995,0.1815,61,0.1125
I,435,0.34,115,0.3925,0.1825,78,0.1145
I,0.44,345,0.13,0.4495,209,0.0835,134
I,0.44,325,0.09,0.35,148,67,105
F,445,335,0.11,0.4355,0.2025,0.1095,0.1195
I,455,355,125,0.5325,225,126,0.1465
F,465,0.35,125,482,0.23,106,0.1095
M,0.47,365,0.12,612,327,0.15,0.14
F,0.47,365,0.12,582,0.29,92,146
M,475,0.37,125,537,222,0.1215,0.15
F,475,0.36,0.12,0.5915,0.3245,0.11,127
M,0.48,375,115,0.6765,0.3205,0.1065,0.17
M,0.48,365,0.12,0.6015,312,117,0.14
F,485,0.37,115,0.4785,0.1995,0.0955,129
M,0.49,385,125,649,0.32,124,0.1695
M,495,395,135,0.6335,0.3035,0.1295,0.1495
M,495,0.4,135,0.61,272,0.1435,144
I,0.5,385,0.12,0.56,0.2835,103,135
M,0.5,385,135,0.6425,0.3195,129,0.1535
M,0.5,0.4,125,0.6725,336,0.12,0.1825
F,505,0.39,0.13,674,0.3165,141,0.1785
I,505,355,125,601,0.25,0.1205,185
M,0.51,0.39,135,769,0.3935,0.1455,0.19
I,0.51,405,135,769,0.3655,0.1585,0.18
M,0.51,405,0.15,0.7035,347,134,0.1885
M,0.51,0.41,145,796,0.3865,0.1815,0.1955
F,515,0.43,0.14,834,367,0.2,0.23
M,515,0.39,155,0.7125,0.3695,137,155
F,525,415,0.14,724,0.3475,173,175
F,0.53,425,0.13,0.7585,325,197,205
M,0.53,405,125,0.6515,0.2715,0.1605,186
F,535,0.4,135,0.8215,0.3935,196,205
M,535,0.43,0.14,0.7165,0.2855,0.1595,0.2155
M,535,435,0.14,874,0.3735,229,0.2195
F,0.55,0.43,0.14,0.8105,368,161,275
F,0.56,455,0.16,967,0.4525,207,274
F,565,0.4,0.13,0.6975,0.3075,0.1665,0.18
M,0.57,0.45,155,1195,0.5625,0.2565,295
M,0.57,0.45,155,1.1935,513,0.21,343
F,0.57,455,0.15,1107,0.54,255,0.27
M,0.57,445,0.14,1.0635,0.5265,0.2195,0.24
M,575,475,0.16,1114,0.4955,0.2745,0.29
F,575,0.46,0.16,1103,538,221,249
F,0.58,0.46,0.18,1.0515,0.4095,0.2595,276
M,0.58,455,0.15,1012,0.4985,0.2115,0.2835
F,0.58,0.45,145,1137,0.5585,0.22,0.29
M,0.58,0.49,0.13,1.1335,586,0.2565,237
M,0.59,465,155,1136,0.5245,0.2615,275
F,0.59,455,145,1063,0.5155,0.2445,0.25
F,595,0.47,155,1121,0.4515,178,155
F,595,0.46,0.14,1.0045,0.4655,0.2095,0.2515
M,595,455,0.15,1044,518,0.2205,0.27
F,605,0.49,0.15,1.1345,0.5265,0.2645,295
M,605,475,155,1161,572,0.2455,275
M,605,0.47,165,1.2315,0.6025,262,0.2925
M,0.61,0.47,0.15,1.1625,565,258,0.3085
M,0.61,475,155,1168,554,239,0.3295
F,615,0.48,0.16,1.2525,585,0.2595,0.33
F,625,0.48,0.17,1.3525,0.6235,278,365
M,625,0.49,175,1.3325,0.5705,271,405
F,625,475,175,1.1435,0.4755,0.2475,349
F,625,485,0.2,1.38,0.5845,302,401
M,0.63,485,155,1278,637,275,0.31
F,0.63,495,165,1.3075,599,284,315
M,0.63,0.48,0.15,1.1785,0.5185,248,0.3235
M,635,0.49,175,1375,623,0.2705,395
M,635,525,185,1.4065,684,0.3,0.3745
F,0.64,0.5,175,1394,0.4935,291,0.4
F,645,0.5,155,1.2205,0.6145,236,0.3185
M,645,0.52,175,1636,779,342,432
M,645,0.52,175,1561,709,0.3555,0.4
F,645,505,165,1.4325,684,308,336
M,645,0.5,175,1.3385,633,299,349
F,645,0.5,0.16,1.2465,0.5475,327,0.3
M,0.65,0.52,0.21,1.6785,0.6665,308,0.46
M,0.65,525,185,1622,0.6645,0.3225,477
F,655,0.46,0.16,1494,0.6895,331,0.1825
F,655,0.51,175,1.6525,0.8515,0.3365,403
F,0.66,505,185,1528,0.69,0.3025,441
M,0.66,535,0.19,1.5905,0.6425,297,0.5175
F,0.66,475,0.18,1.3695,641,294,335
M,0.67,525,165,1.6085,682,0.3145,0.4005
F,675,565,195,1.8375,0.7645,0.3615,553
M,0.68,535,185,1607,0.7245,0.3215,498
M,0.69,525,175,1.7005,0.8255,362,405
F,705,535,0.18,1685,693,0.42,0.4045
M,0.71,565,205,2198,1012,0.5225,0.5475
F,715,525,185,1.56,0.6655,383,405
F,735,0.6,0.22,2555,1.1335,0.44,0.6
I,195,0.15,45,0.0375,18,6,11
I,195,135,0.04,0.0325,0.0135,5,0.0095
I,225,165,55,59,27,0.0125,15
I,245,0.18,65,71,0.03,13,0.0215
I,0.25,0.18,65,0.0685,0.0245,0.0155,0.0225
I,265,195,55,84,0.0365,0.0175,25
I,285,0.22,65,96,0.0405,0.0205,0.03
I,0.3,0.22,0.08,0.1255,55,0.0265,39
I,315,235,55,151,65,27,39
I,0.32,225,85,0.1415,0.0675,0.0295,0.0405
I,0.34,265,0.08,0.2015,0.09,0.0475,55
I,0.37,0.28,0.1,221,0.1165,0.0265,0.0635
I,375,0.28,0.08,0.2345,0.1125,0.0455,67
I,385,0.29,0.08,0.2485,122,0.0495,65
I,0.4,0.32,95,348,194,53,87
I,0.42,0.32,0.11,0.3625,174,0.0635,105
I,0.42,0.31,95,279,0.1255,51,88
I,425,325,115,0.3685,162,0.0865,0.1045
I,435,345,115,418,222,0.0735,106
I,445,345,105,409,0.1675,0.1015,117
I,445,0.34,145,434,0.1945,0.0905,0.13
I,0.45,365,125,462,0.2135,0.0985,0.1315
I,0.45,0.33,105,0.3715,0.1865,0.0785,0.0975
I,0.45,0.33,0.11,0.3685,0.16,0.0885,102
I,0.46,0.35,115,0.4155,0.18,98,0.1175
I,0.47,0.38,125,0.4845,211,0.1075,142
I,475,0.35,0.11,0.4565,206,99,0.13
I,475,0.35,0.1,0.4545,0.2165,111,115
M,0.49,465,125,0.5225,235,0.13,141
I,0.5,375,0.14,0.5495,248,112,0.1585
I,0.5,0.38,125,519,0.2485,0.1135,134
F,505,0.39,125,0.5445,246,0.15,0.1405
I,0.51,405,125,0.6795,0.3465,0.1395,182
F,0.51,0.4,125,545,261,115,0.1385
I,515,385,125,0.6115,0.3175,0.1265,0.15
M,0.52,0.4,145,0.7765,0.3525,0.1845,185
I,0.52,0.38,135,0.5395,0.2295,133,157
I,0.52,0.38,125,0.5545,288,0.1295,167
F,0.52,0.46,0.15,1019,523,0.1985,254
I,525,0.4,0.14,601,0.2625,0.1285,0.1835
M,525,405,0.12,0.7555,0.3755,0.1555,201
I,525,395,0.12,608,297,0.1395,0.1405
I,0.53,0.4,125,617,279,127,0.19
I,535,0.39,125,599,0.2595,149,169
I,0.54,0.42,0.14,0.6665,0.3125,138,0.1895
M,545,0.39,135,0.7835,0.4225,0.1815,156
M,545,0.41,0.12,793,434,0.1405,0.19
M,545,415,0.14,0.82,0.4615,127,218
F,0.55,415,135,0.8145,427,0.1855,175
F,0.55,0.43,0.15,0.84,395,195,223
M,0.56,0.43,145,0.8995,464,0.1775,234
M,0.56,445,0.16,0.8965,0.42,0.2175,0.2215
F,0.56,0.44,155,0.6405,336,0.1765,245
M,565,455,0.15,0.9595,0.4565,0.2395,0.23
M,565,435,0.15,0.99,0.5795,0.1825,206
F,565,0.45,175,1.0095,447,0.2375,0.2645
M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25
F,0.57,445,145,0.8775,412,217,0.22
F,575,0.46,145,0.9945,466,229,265
M,575,435,0.14,0.8455,401,191,222
F,575,0.47,165,869,435,197,238
M,575,455,135,907,0.4245,197,0.26
M,575,445,0.17,1.0225,549,0.2175,228
M,0.58,455,0.15,1114,0.4765,0.2155,265
M,0.58,455,195,1859,945,426,441
M,0.58,445,135,814,0.3775,0.1915,0.22
M,0.58,0.45,145,1.0025,547,0.1975,0.2295
F,0.58,0.45,155,0.93,385,246,265
M,585,465,0.16,0.9555,0.4595,236,265
F,0.6,475,0.16,1.0265,485,0.2495,0.2565
M,0.6,455,0.17,1.1915,696,0.2395,0.24
F,605,0.47,165,1.1775,611,0.2275,292
M,605,475,0.14,1.1175,555,257,274
M,605,0.48,0.17,1.1835,582,0.2365,317
F,605,475,165,1056,433,0.2195,357
M,0.61,485,0.16,1.0145,0.5315,212,0.2415
M,0.61,485,145,1.3305,783,0.2255,0.2865
M,0.61,0.47,165,1052,498,242,267
F,615,465,0.15,923,0.4615,0.1825,0.2415
F,615,475,155,1027,447,0.25,285
M,0.62,0.47,135,1.0195,0.5315,0.2005,0.2475
M,0.62,0.45,0.2,858,0.4285,0.1525,0.2405
F,0.62,0.48,0.16,1.1125,0.5635,0.2445,281
F,625,485,175,1.3745,0.7335,0.2715,332
M,625,0.48,185,1.2065,587,0.29,286
M,0.63,0.47,155,1.1325,589,211,287
M,0.63,0.5,175,1.2645,0.5635,0.3065,0.3425
F,635,495,15,1.1565,0.5115,308,0.2885
M,0.64,515,165,1369,632,0.3415,358
F,645,0.48,0.17,1.1345,528,254,305
F,0.65,0.5,0.19,1464,0.6415,339,0.4245
M,0.65,0.5,155,1202,565,0.3135,294
M,655,515,0.16,1.31,553,369,345
F,0.66,0.53,185,1346,546,0.2705,476
M,665,525,0.16,1363,629,279,0.34
F,0.67,505,205,1.3645,0.6075,0.3025,353
F,685,0.54,215,1.7025,664,0.3655,0.4735
M,685,0.52,165,1519,699,0.3685,0.4
F,0.69,0.54,155,1454,624,0.3105,0.39
M,695,0.56,185,1.74,885,0.3715,0.4375
F,0.7,525,0.19,1.6465,0.8545,307,0.3995
M,715,0.55,0.19,2.0045,1.0465,407,0.5075
M,715,535,0.19,1.6755,889,313,0.42
F,0.72,0.58,195,2103,1.0265,0.48,0.5375
F,0.72,0.55,0.2,1.9965,0.9035,469,0.5215
M,0.72,565,145,1187,691,0.1945,0.2685
F,0.73,575,185,1.8795,931,0.38,0.4825
M,735,585,185,2124,952,0.55,0.5
M,745,565,215,1931,896,0.4585,0.5
F,755,625,0.21,2505,1.1965,513,0.6785
M,755,0.58,205,2.0065,0.8295,0.4015,595
F,0.78,0.63,215,2657,1488,0.4985,586
I,185,375,0.12,0.4645,196,0.1045,0.15
I,245,205,0.06,0.0765,34,14,0.0215
I,0.25,185,65,0.0685,0.0295,14,0.0225
I,0.25,0.19,65,0.0835,39,15,25
I,275,195,0.09,0.1125,0.0545,0.0295,0.0355
I,305,215,65,0.1075,44,0.0205,38
I,0.31,225,0.07,0.1055,435,15,0.04
I,315,0.23,0.08,0.1375,0.0545,31,0.0445
I,315,0.23,0.07,0.1145,46,0.0235,0.0385
I,325,225,75,139,0.0565,32,0.09
I,0.33,0.25,95,0.2085,102,0.0395,52
I,0.33,205,95,0.1595,77,32,0.0435
I,335,245,0.09,0.2015,96,0.0405,48
I,0.34,0.25,0.09,179,0.0775,33,55
I,0.35,0.27,75,215,0.1,36,65
I,0.35,255,0.09,0.1785,0.0855,0.0305,0.0525
I,365,0.27,85,0.1875,81,42,58
I,0.37,0.28,85,217,0.1095,35,62
I,375,0.29,85,0.2385,118,45,0.0695
I,375,275,95,0.2465,0.11,0.0415,0.0775
I,375,0.27,85,218,0.0945,39,0.07
I,0.38,275,0.11,256,0.11,0.0535,0.0755
I,385,0.28,85,0.2175,97,38,67
I,385,0.3,95,302,152,0.0615,0.0735
I,385,0.28,0.09,228,0.1025,42,0.0655
I,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765
I,405,285,0.09,0.2645,0.1265,0.0505,75
I,0.41,335,0.11,0.33,157,0.0705,0.17
I,0.42,305,0.09,328,168,0.0615,82
I,425,0.32,0.1,0.3055,126,0.06,106
I,425,0.31,0.09,301,0.1385,65,0.08
I,0.43,0.34,0,428,0.2065,86,115
I,0.43,315,95,378,175,0.08,0.1045
I,435,315,0.11,0.3685,0.1615,0.0715,0.12
I,0.45,0.33,105,448,208,89,0.12
I,455,345,105,0.4005,164,0.0755,126
F,455,365,115,0.4305,184,108,0.1245
I,455,0.33,0.1,372,358,0.0775,0.11
I,0.46,0.36,105,466,0.2225,99,0.11
I,0.46,0.35,105,0.3705,0.1575,77,114
F,0.46,365,125,0.4785,206,0.1045,141
I,465,0.34,0.11,346,0.1425,73,113
I,475,355,0.1,0.5035,0.2535,91,0.14
I,475,0.38,0.12,441,0.1785,0.0885,0.1505
I,475,0.36,0.11,492,211,0.11,0.15
I,0.48,355,115,0.4725,0.2065,112,132
I,0.48,365,0.1,461,0.2205,0.0835,135
I,495,0.38,0.13,0.5125,0.2185,116,0.16
M,495,395,0.12,553,224,0.1375,167
I,0.5,0.38,135,594,0.2945,104,0.1565
M,0.5,0.42,135,0.6765,302,0.1415,0.2065
I,0.5,375,145,0.5795,239,0.1375,185
I,0.5,0.41,0.14,0.6615,0.2585,0.1625,196
I,0.5,375,125,0.5695,259,124,157
I,0.5,395,0.14,0.6215,0.2925,0.1205,195
I,505,405,0.13,0.6015,0.3015,0.11,0.18
I,505,0.38,0.12,594,0.2595,0.1435,0.18
I,505,395,105,551,248,103,171
I,515,0.38,0.12,625,0.3265,0.1295,0.16
I,515,0.42,135,711,337,144,205
I,0.52,395,125,663,0.3005,131,0.1905
I,525,0.4,125,0.6965,369,0.1385,164
M,525,0.42,155,842,428,0.1415,0.2045
I,0.53,415,0.13,694,0.3905,111,167
I,0.53,0.42,155,0.81,0.4725,111,192
I,0.53,425,0.13,0.7675,419,0.1205,0.21
I,535,0.4,135,0.6025,0.2895,121,154
I,535,415,0.15,0.5765,0.3595,135,225
F,535,0.41,0.13,0.7145,335,144,0.2075
F,0.54,0.42,145,0.8655,0.4315,163,0.2175
I,545,435,135,0.7715,372,148,227
I,545,0.43,0.15,0.7285,302,0.1315,0.2545
I,545,405,135,0.5945,0.27,0.1185,185
I,0.55,0.43,145,0.7895,0.3745,171,223
F,0.55,405,125,651,0.2965,137,0.2
M,0.55,0.43,0.15,0.8745,413,0.1905,248
I,0.55,435,0.14,0.7535,0.3285,0.1555,0.2325
M,555,0.44,0.14,0.8705,407,156,255
I,555,425,145,0.7905,0.3485,0.1765,225
I,0.56,425,145,688,0.3095,0.1305,0.2165
F,0.56,445,155,1224,0.5565,0.3225,0.2695
I,0.56,455,145,974,547,0.1615,235
I,565,0.44,175,0.8735,414,0.21,0.21
F,565,0.45,145,0.8495,0.4215,0.1685,225
M,565,445,0.15,796,0.3635,184,219
M,565,0.39,125,744,352,0.13,0.1685
I,0.57,0.45,145,751,0.2825,0.2195,0.2215
I,0.57,0.45,135,794,0.3815,0.1415,245
I,0.57,0.44,0.13,0.7665,347,0.1785,202
M,0.57,435,125,0.8965,383,0.1835,275
F,575,0.42,135,857,461,147,0.2125
F,575,0.48,165,1078,511,0.2095,306
M,0.58,0.46,155,1.4395,0.6715,273,0.2955
M,585,465,155,0.9145,0.4555,0.1965,235
M,585,0.49,185,1171,522,0.2535,335
I,585,475,0.16,1.0505,0.48,234,285
M,585,0.46,165,1.1135,0.5825,0.2345,274
M,585,0.47,165,1409,0.8,229,295
M,585,0.45,0.18,0.7995,336,0.1855,237
I,0.59,445,135,0.7715,328,0.1745,0.23
M,0.59,0.47,0.18,1187,0.5985,227,0.31
M,0.59,455,155,0.8855,388,188,275
F,595,465,155,1026,0.4645,112,305
M,0.6,0.48,155,1014,451,0.1885,325
F,0.6,465,155,1.04,0.4755,0.25,0.28
M,0.6,0.46,155,0.9595,0.4455,189,295
I,605,485,0.15,1238,0.6315,226,0.33
I,605,435,0.13,0.9025,432,174,0.26
F,605,475,175,1076,463,0.2195,335
F,605,0.47,0.16,1.0835,0.5405,0.2215,275
M,0.61,0.45,0.15,871,407,0.1835,0.25
M,0.61,0.48,165,1244,0.6345,257,305
M,0.61,475,0.17,1.0265,435,0.2335,0.3035
I,0.61,465,0.15,0.9605,0.4495,0.1725,286
M,0.61,0.48,0.17,1137,0.4565,0.29,347
M,0.61,0.46,0.16,1,494,197,275
F,615,475,155,1004,0.4475,193,0.2895
F,615,475,165,1023,0.4905,0.1955,0.3035
M,615,475,0.17,1129,0.4795,302,0.3
M,615,0.48,175,1118,446,0.3195,0.3
F,615,475,155,1115,484,0.2115,355
M,0.62,0.51,175,1.2815,0.5715,0.2385,0.39
F,0.62,0.5,0.15,1293,596,0.3135,354
F,0.62,475,0.16,1.1295,463,0.2685,0.33
M,625,455,0.17,1082,0.4955,0.2345,315
F,625,505,175,1.15,0.5475,256,0.3045
F,625,515,0.16,1264,0.5715,326,321
I,0.63,505,0.18,1272,0.6025,295,315
M,0.63,485,145,1062,0.5065,0.1785,0.3365
I,0.63,475,145,1.0605,0.5165,0.2195,0.28
M,0.63,495,0.16,1093,497,221,315
M,635,0.49,0.16,1101,534,0.1865,0.3455
F,635,0.5,165,1.4595,705,0.2645,0.39
F,635,495,175,1211,707,0.2725,323
M,635,475,0.17,1.1935,0.5205,0.2695,0.3665
M,635,0.51,155,986,405,0.2255,0.31
M,0.64,565,0.23,1521,644,372,406
M,645,0.51,0.16,1.1835,556,0.2385,345
M,645,0.5,195,1401,0.6165,0.3515,0.3725
M,645,525,0.16,1.5075,0.7455,245,0.4325
F,0.65,505,165,1.16,0.4785,274,349
F,0.65,0.59,0.22,1662,0.77,378,435
M,0.65,525,175,1.5365,0.6865,0.3585,405
M,0.65,0.51,0.19,1542,0.7155,0.3735,375
F,0.65,0.51,0.17,1567,0.7245,349,391
F,655,525,0.19,1.3595,564,0.3215,0.3985
M,655,0.49,175,1.3585,0.6395,294,365
F,0.66,515,0.17,1337,615,0.3125,0.3575
F,665,0.53,0.18,1491,0.6345,342,435
F,0.67,505,175,1.0145,0.4375,271,0.3745
M,675,545,185,1.7375,876,0.3135,469
M,685,545,205,1.7925,0.8145,416,461
F,695,565,0.19,1.7635,0.7465,399,0.4975
M,705,555,215,2141,1.0465,383,528
F,705,0.57,0.18,1.5345,0.96,0.4195,0.43
F,0.71,0.55,0.17,1614,743,345,0.45
F,0.72,575,0.17,1.9335,913,389,0.51
M,0.72,575,215,2173,0.9515,564,0.5365
F,725,0.6,0.2,1737,697,0.3585,595
F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52
F,735,565,205,2.1275,949,0.46,565
F,0.75,0.61,235,2.5085,1232,519,612
F,815,0.65,0.25,2255,0.8905,0.42,0.7975
I,0.23,165,0.06,0.0515,19,0.0145,36
I,365,265,135,0.2215,105,47,0.0605
I,365,255,0.08,0.1985,0.0785,0.0345,53
I,0.37,0.27,95,232,0.1325,41,0.0615
I,385,0.3,0.09,247,0.1225,44,0.0675
I,395,295,0.09,0.3025,143,0.0665,0.0765
I,0.4,0.29,0.11,329,188,0.0455,0.0825
I,405,0.31,95,0.3425,0.1785,64,0.0855
I,405,0.29,0.09,0.2825,112,75,0.0815
I,0.41,0.32,95,0.2905,141,63,73
I,425,0.34,105,389,0.2015,0.0905,88
I,0.44,0.34,105,369,164,0.08,0.1015
M,0.44,0.32,0.12,0.4565,0.2435,92,0.1025
I,0.44,365,0.11,0.4465,213,89,0.1135
M,0.45,335,125,0.4475,0.2165,126,0.11
I,455,335,135,501,274,0.0995,0.1065
I,0.46,355,0.11,436,0.1975,96,125
I,0.47,345,0.14,0.4615,229,0.1105,116
I,0.47,0.35,125,0.4315,0.19,0.1165,0.1175
M,475,0.37,125,649,347,136,142
I,475,365,115,459,0.2175,93,0.1165
F,475,365,115,566,281,117,0.1335
I,0.48,0.36,125,542,0.2795,0.1025,147
I,485,0.38,0.12,0.4725,0.2075,0.1075,147
M,485,0.37,0.13,526,0.2485,105,0.1555
F,495,0.38,0.12,573,0.2655,0.1285,144
M,505,385,105,0.5525,239,0.1245,0.1555
I,515,395,125,556,0.2695,96,0.17
M,515,425,145,0.9365,497,181,0.2185
M,525,0.4,0.14,0.7205,0.3685,145,0.1735
I,0.53,0.43,0.13,0.7045,346,0.1415,189
M,0.53,0.4,125,0.7575,398,151,175
F,545,0.41,0.14,0.7405,0.3565,0.1775,203
M,0.55,425,0.16,793,343,0.2035,215
F,0.56,0.43,0.15,0.8745,453,161,0.22
F,0.56,435,0.15,0.8715,0.4755,0.1835,0.1835
M,585,455,0.15,906,0.4095,0.23,0.2335
F,0.59,465,0.15,1151,613,239,0.2515
F,0.59,0.46,145,0.9905,453,0.2205,275
F,595,455,0.16,1.04,452,0.2655,288
M,0.6,455,155,945,0.4365,0.2085,0.25
F,605,485,165,0.9515,0.4535,193,0.2765
F,605,515,0.17,1289,0.6,0.2945,0.3315
I,615,475,0.13,0.8425,353,0.1915,251
M,0.62,485,155,1049,462,231,0.25
F,0.62,435,155,1012,477,236,275
M,0.62,0.48,165,1.0725,0.4815,235,312
M,625,0.52,175,1.4105,691,322,0.3465
M,625,0.47,0.18,1136,451,0.3245,305
M,0.63,0.47,145,1.1005,0.52,0.26,276
F,0.63,0.5,175,1.1105,467,268,329
M,0.63,455,0.15,1.1315,481,0.2745,305
M,0.63,0.48,0.15,1271,0.6605,0.2425,0.31
F,635,505,145,1.1345,505,0.2655,315
M,635,0.51,185,1308,544,318,377
F,0.64,515,205,1.5335,0.6635,0.3345,0.4025
F,645,515,175,1546,0.7035,365,415
F,645,505,165,1318,0.55,0.3015,335
F,0.65,545,175,1.5245,0.59,326,495
M,0.65,515,175,1466,677,0.3045,0.4
M,0.65,485,0.14,1175,475,0.2435,215
F,655,0.54,215,1.5555,695,296,444
M,655,0.51,215,1.7835,0.8885,0.4095,0.4195
M,0.66,505,165,1374,589,351,345
F,665,515,0.18,1389,0.5945,324,395
M,0.67,545,0.2,1.7025,833,374,0.41
M,0.67,0.51,175,1.5265,651,0.4475,345
M,0.67,0.5,0.19,1519,616,388,415
M,0.68,515,0.17,1.6115,0.8415,306,395
M,0.69,525,0.2,1.7825,0.9165,0.3325,461
F,0.7,0.55,0.17,1684,0.7535,0.3265,0.32
M,0.7,555,0.2,1858,0.73,0.3665,595
M,705,0.56,165,1675,797,0.4095,388
M,0.72,565,0.2,2.1055,1017,363,494
M,725,575,0.24,2.21,1351,413,0.5015
M,0.74,0.57,0.18,1.8725,0.9115,427,446
M,0.75,0.55,0.18,1893,942,397,445
I,0.21,0.17,45,0.0475,19,11,13
I,285,0.21,55,101,0.0415,17,0.0335
I,0.3,0.23,85,117,0.05,0.0175,0.0415
I,335,255,0.08,168,79,0.0355,0.05
I,0.35,0.26,75,0.18,0.09,0.0245,55
I,355,0.27,75,0.1775,79,0.0315,54
I,355,0.26,0.09,0.1985,0.0715,0.0495,58
I,0.36,0.27,95,0.2,73,56,61
I,0.36,275,75,0.2205,0.0985,44,66
I,365,0.27,85,0.2225,0.0935,0.0525,66
I,375,0.28,0.08,0.2165,0.0935,0.0925,0.07
I,0.38,285,95,243,0.0895,0.0665,75
I,385,0.28,95,257,119,59,0.07
I,0.39,0.3,0.09,252,0.1065,53,0.08
I,0.39,285,0.1,281,0.1275,62,77
I,0.41,0.3,0.09,304,129,71,0.0955
I,0.41,0.3,0.09,0.28,141,0.0575,75
